departamento,codigodanedepartamento,municipio,codigodanemunicipio,ano,mes,tipodesminado,areadespejada,map,muse,aei,totalartefactosdestruidos,organizacion,estudiosnotecnicos,estudiostecnicos,operacionesdespeje,areaspeligrosas,areaspeligrosasconfirmadas
HUILA,41,ALGECIRAS,41020,2018,7,Comunidades,0,0,0,0,0,CCCM,11,0,0,0,0
ANTIOQUIA,5,AMALFI,5031,2022,7,Comunidades,0,0,0,0,0,HALO,4,0,0,0,0
TOLIMA,73,RONCESVALLES,73622,2019,3,Comunidades,4944,1,0,0,1,BRDEH,0,0,1,0,0
SANTANDER,68,EL CARMEN,68235,2016,7,Comunidades,0,0,0,0,0,BRDEH,0,0,0,2,1
CALDAS,17,SAMANÁ,17662,2010,11,Comunidades,1602.05,2,0,0,2,BRDEH,1,2,1,0,0
TOLIMA,73,RIOBLANCO,73616,2018,11,Comunidades,0,0,0,0,0,HALO,1,0,0,0,0
BOLIVAR,13,SAN MARTÍN DE LOBA,13667,2023,1,Comunidades,0,0,0,0,0,DRC,1,0,0,0,0
NARIÑO,52,IPIALES,52356,2019,11,Comunidades,8440,0,0,0,0,BRDEH,2,1,0,0,0
CAUCA,19,PÁEZ,19517,2022,12,Comunidades,0,0,1,0,1,HI,7,0,0,0,0
TOLIMA,73,RIOBLANCO,73616,2018,1,Comunidades,1075,0,0,0,0,HALO,0,0,1,0,0
CALDAS,17,SUPÍA,17777,2020,9,Comunidades,0,0,0,0,0,BRDEH,0,0,0,2,0
TOLIMA,73,PLANADAS,73555,2021,11,Comunidades,0,0,0,0,0,BRDEH,0,0,0,1,1
PUTUMAYO,86,PUERTO GUZMÁN,86571,2019,12,Comunidades,0,0,0,0,0,CCCM,0,0,0,0,1
TOLIMA,73,RIOBLANCO,73616,2017,6,Comunidades,0,0,0,0,0,BRDEH,4,0,0,0,0
ANTIOQUIA,5,COCORNÁ,5197,2014,10,Comunidades,3330,2,0,0,2,BRDEH,2,1,1,0,0
CALDAS,17,SAMANÁ,17662,2021,9,Comunidades,0,0,0,0,0,BRDEH,0,0,0,1,0
PUTUMAYO,86,ORITO,86320,2017,9,Comunidades,0,0,0,0,0,BRDEH,5,0,0,0,0
ANTIOQUIA,5,COCORNÁ,5197,2016,3,Comunidades,0,0,0,0,0,BRDEH,4,0,0,0,0
META,50,VISTAHERMOSA,50711,2018,11,Comunidades,0,2,0,2,4,HALO,1,0,0,0,0
TOLIMA,73,PLANADAS,73555,2018,5,Comunidades,0,0,0,4,4,HALO,3,0,0,0,0
META,50,VISTAHERMOSA,50711,2017,8,Comunidades,0,0,0,0,0,APN,0,0,0,0,1
TOLIMA,73,PLANADAS,73555,2017,6,Comunidades,0,0,0,0,0,HALO,0,0,0,0,1
META,50,MESETAS,50330,2016,12,Comunidades,0,0,0,0,0,HALO,0,0,0,0,2
CHOCO,27,UNGUÍA,27800,2023,5,Comunidades,0,0,0,0,0,CCCM,1,0,0,0,0
